layer,kind,tensor,type,cols,rows,batch,calls,ms
10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,207.718599
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,201.087837
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,76.873671
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,76.569777
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,75.909386
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,77.401368
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,208.466380
11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,208.002628
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,202.386668
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,76.193573
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,77.450217
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,77.317124
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,77.232492
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,207.923489
12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,208.196635
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,202.372332
13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,77.058092
13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,76.746928
13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,77.544846
13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,77.582769
13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,207.860579
13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,208.185690
13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,201.439137
14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,77.061093
14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,76.442113
14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,76.811532
14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,77.270786
