phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,32,4,194.656857
prefill,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,194.327917
prefill,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,80.311681
prefill,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,81.042133
prefill,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,80.452091
prefill,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,79.885426
prefill,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,194.740898
prefill,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,192.791732
prefill,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,192.366087
prefill,11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,80.487424
prefill,11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,79.558426
prefill,11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,79.593858
prefill,11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,79.757343
prefill,11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,193.243229
prefill,11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,193.442150
prefill,11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,196.016348
prefill,12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,81.998293
prefill,12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,80.035889
prefill,12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,82.117835
prefill,12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,80.301487
prefill,12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,194.499179
prefill,12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,192.948959
prefill,12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,197.066165
prefill,13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,80.480853
prefill,13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,81.308762
prefill,13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,81.616717
prefill,13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,81.784482
prefill,13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,196.664286
prefill,13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,194.411599
prefill,13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,197.523088
prefill,14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,79.705212
prefill,14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,81.724687
prefill,14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,81.630417
prefill,14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,80.590993
prefill,14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,194.796338
prefill,14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,194.597932
prefill,14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,195.438042
prefill,15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,80.184938
prefill,15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,82.583156
prefill,15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,80.729893
prefill,15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,80.172720
prefill,15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,194.759252
prefill,15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,193.968022
prefill,15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,196.871028
prefill,16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,80.830977
prefill,16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,80.684854
prefill,16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,81.630720
prefill,16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,81.751970
prefill,16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,195.885451
prefill,16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,197.621780
prefill,16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,194.503476
prefill,17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,79.331097
prefill,17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,81.681665
prefill,17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,80.829775
prefill,17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,79.341587
prefill,17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,194.403301
prefill,17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,191.581585
prefill,17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,195.238415
prefill,18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,79.987497
prefill,18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,79.451907
prefill,18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,79.638847
prefill,18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,79.176731
prefill,18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,193.880995
prefill,18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,32,4,193.277964
prefill,18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,32,4,196.612738
prefill,19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,32,4,80.626111
prefill,19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,32,4,81.626511
prefill,19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,32,4,79.881344
prefill,19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,32,4,78.860568
prefill,19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,32,4,191.358261
prefill,19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,32,4,191.365025
prefill,19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,32,4,192.386824
prefill,20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,32,4,79.697274
