phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
decode,4,k_proj,blk.4.attn_k.weight,Q4_0,288,288,1,8,0.050564
decode,4,v_proj,blk.4.attn_v.weight,Q4_0,288,288,1,8,0.050414
decode,4,o_proj,blk.4.attn_output.weight,Q4_0,288,288,1,8,0.066163
decode,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,288,768,1,8,0.121018
decode,4,ffn_up,blk.4.ffn_up.weight,Q4_0,288,768,1,8,0.120946
decode,4,ffn_down,blk.4.ffn_down.weight,Q4_0,768,288,1,8,0.167293
decode,5,q_proj,blk.5.attn_q.weight,Q4_0,288,288,1,8,0.050877
decode,5,k_proj,blk.5.attn_k.weight,Q4_0,288,288,1,8,0.050696
decode,5,v_proj,blk.5.attn_v.weight,Q4_0,288,288,1,8,0.067396
decode,5,o_proj,blk.5.attn_output.weight,Q4_0,288,288,1,8,0.066494
decode,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,288,768,1,8,0.121017
decode,5,ffn_up,blk.5.ffn_up.weight,Q4_0,288,768,1,8,0.137237
decode,5,ffn_down,blk.5.ffn_down.weight,Q4_0,768,288,1,8,0.167284
decode,-1,output,output.weight,Q8_0,288,32000,1,8,4.424604
