phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,32,4,276.770329
prefill,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,276.311620
prefill,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,106.869861
prefill,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,105.528579
prefill,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,106.484633
prefill,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,105.810564
prefill,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,275.169574
prefill,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,274.191068
prefill,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,274.547899
prefill,11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,105.906336
prefill,11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,106.656057
prefill,11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,105.149647
prefill,11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,106.244601
prefill,11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,274.822207
prefill,11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,275.278515
prefill,11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,275.060878
prefill,12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,106.017864
prefill,12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,106.395145
prefill,12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,105.957371
prefill,12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,106.126973
prefill,12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,277.702674
prefill,12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,277.252720
prefill,12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,273.233706
prefill,13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,106.375724
prefill,13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,107.139185
prefill,13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,106.627313
prefill,13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,106.335747
prefill,13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,276.675288
prefill,13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,274.980693
prefill,13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,274.689230
prefill,14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,105.399198
prefill,14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,106.260400
prefill,14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,106.234810
prefill,14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,106.848794
prefill,14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,277.970727
prefill,14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,277.930684
prefill,14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,277.070781
prefill,15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,106.541125
prefill,15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,105.735421
prefill,15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,105.788231
prefill,15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,106.817886
prefill,15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,275.157635
prefill,15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,283.702684
prefill,15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,282.540368
prefill,16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,106.021874
prefill,16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,105.896164
prefill,16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,106.216971
prefill,16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,107.206434
prefill,16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,281.545875
prefill,16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,288.878532
prefill,16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,277.507876
prefill,17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,105.871367
prefill,17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,105.833408
prefill,17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,104.533969
prefill,17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,106.428253
prefill,17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,277.498597
prefill,17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,276.555633
prefill,17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,277.208364
prefill,18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,105.398503
prefill,18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,106.282223
prefill,18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,106.498251
prefill,18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,106.292327
prefill,18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,276.556216
prefill,18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,32,4,276.763104
prefill,18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,32,4,275.168020
prefill,19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,32,4,106.777589
prefill,19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,32,4,106.481287
prefill,19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,32,4,105.698092
prefill,19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,32,4,106.560038
prefill,19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,32,4,276.297708
prefill,19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,32,4,277.317175
prefill,19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,32,4,276.676009
prefill,20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,32,4,105.860895
prefill,20,k_proj,blk.20.attn_k.weight,Q4_0,4096,4096,32,4,105.394519
prefill,20,v_proj,blk.20.attn_v.weight,Q4_0,4096,4096,32,4,105.791537
prefill,20,o_proj,blk.20.attn_output.weight,Q4_0,4096,4096,32,4,107.013265
prefill,20,ffn_gate,blk.20.ffn_gate.weight,Q4_0,4096,11008,32,4,275.818329
prefill,20,ffn_up,blk.20.ffn_up.weight,Q4_0,4096,11008,32,4,277.186966
prefill,20,ffn_down,blk.20.ffn_down.weight,Q4_0,11008,4096,32,4,275.544317
prefill,21,q_proj,blk.21.attn_q.weight,Q4_0,4096,4096,32,4,106.235301
prefill,21,k_proj,blk.21.attn_k.weight,Q4_0,4096,4096,32,4,106.629059
prefill,21,v_proj,blk.21.attn_v.weight,Q4_0,4096,4096,32,4,104.551214
prefill,21,o_proj,blk.21.attn_output.weight,Q4_0,4096,4096,32,4,107.758681
prefill,21,ffn_gate,blk.21.ffn_gate.weight,Q4_0,4096,11008,32,4,276.327682
prefill,21,ffn_up,blk.21.ffn_up.weight,Q4_0,4096,11008,32,4,277.045039
prefill,21,ffn_down,blk.21.ffn_down.weight,Q4_0,11008,4096,32,4,275.060847
prefill,22,q_proj,blk.22.attn_q.weight,Q4_0,4096,4096,32,4,105.959626
prefill,22,k_proj,blk.22.attn_k.weight,Q4_0,4096,4096,32,4,107.156436
prefill,22,v_proj,blk.22.attn_v.weight,Q4_0,4096,4096,32,4,105.205670
prefill,22,o_proj,blk.22.attn_output.weight,Q4_0,4096,4096,32,4,105.984938
prefill,22,ffn_gate,blk.22.ffn_gate.weight,Q4_0,4096,11008,32,4,275.658133
prefill,22,ffn_up,blk.22.ffn_up.weight,Q4_0,4096,11008,32,4,278.303913
prefill,22,ffn_down,blk.22.ffn_down.weight,Q4_0,11008,4096,32,4,277.529419
prefill,23,q_proj,blk.23.attn_q.weight,Q4_0,4096,4096,32,4,105.714802
prefill,23,k_proj,blk.23.attn_k.weight,Q4_0,4096,4096,32,4,106.348041
prefill,23,v_proj,blk.23.attn_v.weight,Q4_0,4096,4096,32,4,105.508104
prefill,23,o_proj,blk.23.attn_output.weight,Q4_0,4096,4096,32,4,106.215996
prefill,23,ffn_gate,blk.23.ffn_gate.weight,Q4_0,4096,11008,32,4,279.537844
prefill,23,ffn_up,blk.23.ffn_up.weight,Q4_0,4096,11008,32,4,275.053194
prefill,23,ffn_down,blk.23.ffn_down.weight,Q4_0,11008,4096,32,4,274.878554
prefill,24,q_proj,blk.24.attn_q.weight,Q4_0,4096,4096,32,4,108.191545
prefill,24,k_proj,blk.24.attn_k.weight,Q4_0,4096,4096,32,4,106.541851
prefill,24,v_proj,blk.24.attn_v.weight,Q4_0,4096,4096,32,4,106.196602
prefill,24,o_proj,blk.24.attn_output.weight,Q4_0,4096,4096,32,4,106.411877
prefill,24,ffn_gate,blk.24.ffn_gate.weight,Q4_0,4096,11008,32,4,277.966654
prefill,24,ffn_up,blk.24.ffn_up.weight,Q4_0,4096,11008,32,4,276.917407
prefill,24,ffn_down,blk.24.ffn_down.weight,Q4_0,11008,4096,32,4,276.576627
prefill,25,q_proj,blk.25.attn_q.weight,Q4_0,4096,4096,32,4,105.387827
prefill,25,k_proj,blk.25.attn_k.weight,Q4_0,4096,4096,32,4,107.260226
prefill,25,v_proj,blk.25.attn_v.weight,Q4_0,4096,4096,32,4,106.224612
prefill,25,o_proj,blk.25.attn_output.weight,Q4_0,4096,4096,32,4,107.188813
prefill,25,ffn_gate,blk.25.ffn_gate.weight,Q4_0,4096,11008,32,4,275.338775
prefill,25,ffn_up,blk.25.ffn_up.weight,Q4_0,4096,11008,32,4,274.961925
prefill,25,ffn_down,blk.25.ffn_down.weight,Q4_0,11008,4096,32,4,278.440853
prefill,26,q_proj,blk.26.attn_q.weight,Q4_0,4096,4096,32,4,107.222020
prefill,26,k_proj,blk.26.attn_k.weight,Q4_0,4096,4096,32,4,105.866622
prefill,26,v_proj,blk.26.attn_v.weight,Q4_0,4096,4096,32,4,107.066748
prefill,26,o_proj,blk.26.attn_output.weight,Q4_0,4096,4096,32,4,106.837364
prefill,26,ffn_gate,blk.26.ffn_gate.weight,Q4_0,4096,11008,32,4,276.266878
prefill,26,ffn_up,blk.26.ffn_up.weight,Q4_0,4096,11008,32,4,280.506311
prefill,26,ffn_down,blk.26.ffn_down.weight,Q4_0,11008,4096,32,4,275.264189
prefill,27,q_proj,blk.27.attn_q.weight,Q4_0,4096,4096,32,4,105.996431
prefill,27,k_proj,blk.27.attn_k.weight,Q4_0,4096,4096,32,4,105.920160
prefill,27,v_proj,blk.27.attn_v.weight,Q4_0,4096,4096,32,4,105.409888
prefill,27,o_proj,blk.27.attn_output.weight,Q4_0,4096,4096,32,4,107.036616
prefill,27,ffn_gate,blk.27.ffn_gate.weight,Q4_0,4096,11008,32,4,276.121520
prefill,27,ffn_up,blk.27.ffn_up.weight,Q4_0,4096,11008,32,4,278.908506
prefill,27,ffn_down,blk.27.ffn_down.weight,Q4_0,11008,4096,32,4,278.349297
prefill,28,q_proj,blk.28.attn_q.weight,Q4_0,4096,4096,32,4,106.132008
prefill,28,k_proj,blk.28.attn_k.weight,Q4_0,4096,4096,32,4,105.501683
prefill,28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,32,4,105.631430
prefill,28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,32,4,107.629069
prefill,28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,32,4,279.562377
prefill,28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,32,4,278.602745
prefill,28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,32,4,276.637406
prefill,29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,32,4,106.247624
prefill,29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,32,4,107.321129
prefill,29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,32,4,105.938693
prefill,29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,32,4,106.592791
prefill,29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,32,4,279.637815
prefill,29,ffn_up,blk.29.ffn_up.weight,Q4_0,4096,11008,32,4,277.021098
prefill,29,ffn_down,blk.29.ffn_down.weight,Q4_0,11008,4096,32,4,274.840282
prefill,30,q_proj,blk.30.attn_q.weight,Q4_0,4096,4096,32,4,106.255017
prefill,30,k_proj,blk.30.attn_k.weight,Q4_0,4096,4096,32,4,107.143792
prefill,30,v_proj,blk.30.attn_v.weight,Q4_0,4096,4096,32,4,105.732749
prefill,30,o_proj,blk.30.attn_output.weight,Q4_0,4096,4096,32,4,106.428432
prefill,30,ffn_gate,blk.30.ffn_gate.weight,Q4_0,4096,11008,32,4,278.460720
prefill,30,ffn_up,blk.30.ffn_up.weight,Q4_0,4096,11008,32,4,278.286570
prefill,30,ffn_down,blk.30.ffn_down.weight,Q4_0,11008,4096,32,4,275.379857
prefill,31,q_proj,blk.31.attn_q.weight,Q4_0,4096,4096,32,4,105.951185
prefill,31,k_proj,blk.31.attn_k.weight,Q4_0,4096,4096,32,4,106.335060
