layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,107.212656
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,105.749119
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,104.511629
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,107.031667
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,277.718296
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,275.787497
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,284.778770
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,106.723545
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,105.716233
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,104.714677
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,110.977120
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,279.599970
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,275.947280
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,289.532955
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,106.628448
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,104.181949
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,104.117615
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,109.780403
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,277.061547
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,277.557252
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,282.243825
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,106.840054
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,104.307749
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,104.636741
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,111.215741
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,276.515669
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,275.278790
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,286.243918
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,105.303732
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,103.790462
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,102.747451
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,109.938089
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,276.716317
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,277.403272
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,283.034164
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,106.476843
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,105.640198
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,103.713521
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,108.038193
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,277.845150
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,280.778269
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,285.652530
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,107.716227
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,106.207007
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,104.668397
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,108.717901
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,277.200434
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,279.145887
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,286.769393
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,105.204977
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,105.492121
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,106.735258
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,110.718015
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,279.430328
7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,32,4,275.619382
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,289.424199
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,107.729801
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,108.211696
8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,32,4,106.100614
8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,32,4,109.680883
8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,32,4,277.169157
8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,32,4,277.048021
8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,32,4,290.865129
9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,32,4,105.082358
9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,32,4,105.396862
9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,32,4,106.140227
9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,32,4,108.973913
9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,32,4,279.840455
9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,32,4,279.078489
9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,282.610727
10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,106.320495
10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,106.773253
10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,105.922587
10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,109.275528
10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,284.713704
10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,277.612566
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,285.638410
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,108.527346
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,105.843111
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,104.862992
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,108.760541
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,278.004756
11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,279.080099
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,288.650020
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,106.789566
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,106.482551
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,104.256090
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,107.441735
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,278.832605
12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,275.125341
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,290.546098
13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,105.552404
13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,108.394870
13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,105.413168
13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,111.365801
13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,277.896716
13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,276.360368
13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,284.497309
14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,106.921728
14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,105.896617
14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,104.687870
14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,111.508632
14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,279.105924
14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,280.177930
14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,290.369031
15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,106.229579
15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,107.119494
15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,106.231028
15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,107.618012
15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,276.980525
15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,277.017903
15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,286.485906
16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,107.586999
16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,104.641646
16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,103.975494
16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,108.253485
16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,279.209270
16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,278.415157
16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,283.709410
17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,105.516063
17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,106.670508
17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,105.839807
17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,108.672782
17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,277.242960
17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,278.122680
17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,288.380137
18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,106.369321
18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,104.965972
18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,103.301156
18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,109.581183
18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,276.209058
