layer,kind,tensor,type,cols,rows,batch,calls,ms
10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,293.841300
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,291.340170
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,109.210334
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,108.610738
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,106.649720
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,106.836214
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,293.183711
11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,292.239586
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,287.863456
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,106.401800
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,106.154653
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,107.724677
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,107.355503
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,289.206616
12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,288.766174
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,288.271328
13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,106.833535
13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,107.724276
13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,107.990903
13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,108.729458
13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,290.238376
13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,289.975885
13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,289.547834
14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,105.258142
14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,106.359777
14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,106.696985
14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,104.594650
14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,290.161913
14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,291.160645
14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,287.975670
15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,105.245227
15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,106.574710
15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,107.253971
15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,109.114469
15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,289.945567
15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,290.069642
15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,288.633458
16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,105.149431
16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,105.686662
16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,105.118341
