phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,105.559846
prefill,0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,105.816415
prefill,0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,106.207727
prefill,0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,107.363298
prefill,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,277.311786
prefill,0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,278.043232
prefill,0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,268.754747
prefill,1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,105.749042
prefill,1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,105.143994
prefill,1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,106.552342
prefill,1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,105.817705
prefill,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,274.956745
prefill,1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,277.440850
prefill,1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,278.670915
prefill,2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,110.184458
prefill,2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,106.573967
prefill,2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,106.147241
prefill,2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,106.765458
prefill,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,278.492236
prefill,2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,278.102460
prefill,2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,269.814926
prefill,3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,106.248007
prefill,3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,106.112490
prefill,3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,106.321868
prefill,3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,106.361097
prefill,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,279.077028
prefill,3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,277.121126
prefill,3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,267.290883
prefill,4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,106.797154
prefill,4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,105.504246
prefill,4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,105.992336
prefill,4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,107.260113
prefill,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,276.740075
prefill,4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,277.837084
prefill,4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,271.922668
prefill,5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,106.323295
prefill,5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,106.297471
prefill,5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,106.266760
prefill,5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,105.864221
