phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,16,8,261.368663
prefill,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,16,8,296.072555
prefill,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,16,8,97.900533
prefill,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,16,8,97.748110
prefill,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,16,8,97.907808
prefill,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,16,8,98.928005
prefill,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,16,8,261.990469
prefill,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,16,8,261.330309
prefill,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,16,8,296.470163
prefill,11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,16,8,98.719504
prefill,11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,16,8,97.856878
prefill,11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,16,8,98.398139
prefill,11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,16,8,97.819549
prefill,11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,16,8,262.211440
prefill,11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,16,8,261.835321
prefill,11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,16,8,297.633015
prefill,12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,16,8,98.089579
prefill,12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,16,8,98.524332
prefill,12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,16,8,98.485484
prefill,12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,16,8,97.992620
prefill,12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,16,8,261.007986
prefill,12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,16,8,261.252473
prefill,12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,16,8,296.796340
prefill,13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,16,8,97.500981
prefill,13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,16,8,98.980047
prefill,13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,16,8,97.827936
prefill,13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,16,8,98.032644
prefill,13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,16,8,261.805971
prefill,13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,16,8,261.947606
prefill,13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,16,8,294.960930
prefill,14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,16,8,98.341633
prefill,14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,16,8,97.647033
prefill,14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,16,8,99.271934
prefill,14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,16,8,97.797488
prefill,14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,16,8,261.792463
prefill,14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,16,8,261.665058
prefill,14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,16,8,295.502604
prefill,15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,16,8,98.037884
prefill,15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,16,8,97.899835
