mode,batch,prefill_ms,decode_ms,ffn_ms,qkv_ms,total_ms,peak_rss_kib,major_faults,minor_faults,cpu_percent
fp32,16,40108.100000,9822.910000,30798.150000,11137.890000,49931.010000,3814936,0,93623,234%
fp32,32,44040.800000,9831.440000,33715.070000,11956.080000,53872.240000,3819308,0,94647,234%
fp32,64,50195.700000,9820.660000,37743.080000,13557.840000,60016.360000,3827372,0,96187,231%
q8act,16,111412.000000,9825.230000,78103.220000,29155.930000,121237.230000,3814996,0,93694,213%
q8act,32,111257.000000,9855.770000,78063.100000,29111.860000,121112.770000,3819500,0,94817,214%
q8act,64,111396.000000,9829.790000,78164.000000,29110.080000,121225.790000,3828080,0,96632,214%
