phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,32,4,617.965045
prefill,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,630.506565
prefill,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,231.809159
prefill,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,231.833966
prefill,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,231.646216
prefill,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,231.887183
prefill,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,618.324584
prefill,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,618.425952
prefill,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,630.410598
prefill,11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,231.845388
prefill,11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,231.980290
prefill,11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,232.048998
prefill,11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,231.723399
prefill,11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,618.194602
prefill,11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,618.591353
prefill,11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,631.911623
prefill,12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,232.032340
prefill,12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,231.648831
prefill,12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,231.613164
prefill,12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,231.793608
prefill,12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,618.656863
prefill,12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,618.002691
prefill,12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,630.942011
prefill,13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,231.894585
prefill,13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,231.627542
prefill,13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,231.681200
prefill,13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,232.111559
prefill,13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,618.055386
prefill,13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,617.943377
prefill,13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,631.554619
prefill,14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,231.456580
prefill,14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,231.686429
prefill,14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,231.674344
prefill,14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,231.908501
prefill,14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,618.238880
prefill,14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,618.135526
prefill,14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,630.518124
prefill,15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,231.816240
prefill,15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,231.392420
prefill,15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,231.584478
prefill,15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,231.862724
prefill,15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,618.359021
prefill,15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,618.210526
prefill,15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,630.486942
prefill,16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,231.780150
prefill,16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,231.898891
prefill,16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,231.511069
prefill,16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,231.651523
prefill,16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,617.882125
prefill,16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,618.179988
prefill,16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,630.907985
prefill,17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,231.610687
